OBJECTID,FOD_ID,FPA_ID,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,dewpoint,humidity,icon,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,windBearing,windGust,windGustTime,windSpeed,latitude_print,longitude_print,offset_print,timezone_print
32298,32454,FS-1473000,78.25,1215204660,53.27,1215262140,78.25,1215204660,49.29,1215172620,34.74,0.36,clear-day,0.08,0,0,,0,,1215172320,1215225480,78.75,1215204660,52.78,1215262140,78.75,1215204660,48.8,1215172620,1215151200,12,1215198780,305,16.96,1215212100,3.94,38.55138889,-107.2666667,-6,America/Denver
32406,32564,FS-1473118,87.5,1219265820,63.24,1219318920,87.5,1219265820,61.19,1219232760,57.57,0.59,,0.64,0,0,,0,,1219229820,1219277820,88,1219265820,62.6,1219318980,88,1219265820,60.71,1219232760,1219204800,0,1219204800,105,9.91,1219261800,2.03,35.92277778,-83.06722222,-4,America/New_York
32499,32657,FS-1473247,67.2,1221515340,33.77,1221558360,67.2,1221515340,33.2,1221469680,19.09,0.28,,0.53,0,0,,0,,1221483900,1221528780,67.7,1221515340,33.28,1221558360,67.7,1221515340,35.38,1221471960,1221458400,0,1221458400,241,14.12,1221523200,3.01,42.23027778,-110.7055556,-6,America/Boise
32542,32700,FS-1473299,64.98,1218223800,41.55,1218286980,64.98,1218223800,50.48,1218261600,41.92,0.58,rain,0.26,0.0021,0.074,1218178800,0.43,rain,1218200460,1218252300,65.48,1218223800,45.43,1218288720,65.48,1218223800,49.99,1218261600,1218178800,9,1218226560,342,30.86,1218249900,7.01,45.35222222,-121.635,-7,America/Los_Angeles
32590,32749,FS-1473351,84.7,1210108860,62.98,1210166220,84.7,1210108860,55.74,1210079760,37.1,0.31,clear-day,0.07,0,0,,0,,1210078620,1210128240,85.2,1210108860,62.49,1210166220,85.2,1210108860,55.25,1210079760,1210057200,11,1210103100,286,30.24,1210117620,11.77,35.16666667,-118.0522222,-7,America/Los_Angeles
32653,32813,FS-1473424,84.59,1223152260,59.36,1223204580,84.59,1223152260,50.44,1223119860,37.21,0.37,wind,0.18,0,0,,0,,1223124540,1223166600,85.09,1223152260,58.87,1223204580,85.09,1223152260,49.95,1223119860,1223096400,7,1223145540,185,40.27,1223179200,15.75,36.27777778,-102.4741667,-5,America/Chicago
32758,32918,FS-1473556,78.38,1220819820,56.59,1220878860,78.38,1220819820,57.66,1220794560,38.91,0.36,,0.27,0,0,,0,,1220792640,1220838240,78.88,1220819820,56.1,1220878860,78.88,1220819820,57.17,1220794560,1220770800,0,1220770800,105,12.84,1220821020,1.63,34.62388889,-111.2633333,-7,America/Phoenix
32786,32946,FS-1473586,91.02,1210103400,66.04,1210147500,91.02,1210103400,56.88,1210071360,55.05,0.59,clear-day,0.06,0,0,,0,,1210070520,1210118820,91.52,1210103400,64.76,1210147500,91.52,1210103400,56.39,1210071360,1210046400,11,1210094580,24,18.8,1210114140,5.19,29.13416667,-81.71805556,-4,America/New_York
32788,32948,FS-1473590,89.45,1214082540,63.27,1214139420,89.45,1214082540,66.84,1214052120,39.28,0.26,rain,0.61,0.0002,0.0024,1214096340,0.31,rain,1214051880,1214105700,89.95,1214082540,62.78,1214139420,89.95,1214082540,66.35,1214052120,1214031600,11,1214078640,191,21.04,1214099400,3.25,39.34944444,-120.7791667,-7,America/Los_Angeles
32789,32949,FS-1473593,83.5,1214083920,58.18,1214126340,83.5,1214083920,61.35,1214052480,39.31,0.32,rain,0.61,0.0003,0.0039,1214096340,0.49,rain,1214051880,1214105640,84,1214083920,57.69,1214126340,84,1214083920,60.86,1214052480,1214031600,11,1214078640,211,19.86,1214085840,4.05,39.36,-120.6966667,-7,America/Los_Angeles
32821,32982,FS-1473629,69.47,1223842620,54.94,1223877540,69.47,1223842620,49.86,1223811780,13.35,0.17,clear-day,0.44,0,0,,0,,1223819880,1223861040,69.97,1223842620,54.45,1223877540,69.97,1223842620,49.37,1223811780,1223794800,6,1223840460,8,35.4,1223809140,7.78,34.29472222,-118.3611111,-7,America/Los_Angeles
32835,32996,FS-1473646,69.65,1222726260,32.86,1222779660,69.65,1222726260,23.04,1222693260,20.17,0.35,,0.03,0,0,,0,,1222694760,1222737180,70.15,1222726260,34.96,1222779540,70.15,1222726260,27.5,1222693320,1222668000,0,1222668000,1,13.71,1222725600,4.48,44.50166667,-112.0225,-6,America/Boise
32862,33023,FS-1473677,74.8,1214086140,44.36,1214141940,74.8,1214086140,54.18,1214114400,44.72,0.54,,0.61,0.0004,0.0037,1214067600,0.19,rain,1214052120,1214106600,75.3,1214086140,43.87,1214141940,75.3,1214086140,53.69,1214114400,1214031600,,,212,15.44,1214093340,2.53,41.07222222,-123.3025,-7,America/Los_Angeles
33104,33265,FS-1473954,99.22,1214254860,68.68,1214311500,99.22,1214254860,66.6,1214225700,41.4,0.25,clear-day,0.67,0,0,,0,,1214223720,1214274840,99.72,1214254860,68.19,1214311500,99.72,1214254860,66.11,1214225700,1214204400,12,1214249220,271,22.84,1214269140,4.74,31.49527778,-111.1702778,-7,America/Phoenix
33111,33272,FS-1473963,61.73,1222379460,35.76,1222437600,61.73,1222379460,44.6,1222408800,41.3,0.62,,0.89,0.0004,0.0038,1222326000,0.05,rain,1222351140,1222394340,62.23,1222379460,35.27,1222437600,62.23,1222379460,44.11,1222408800,1222326000,0,1222326000,230,17.07,1222376100,3.55,44.55666667,-121.6225,-7,America/Los_Angeles
33204,33368,FS-1474085,84.63,1216160400,45.55,1216207140,84.63,1216160400,45.97,1216120680,30.38,0.28,,0.43,0,0,,0,,1216123740,1216178700,85.13,1216160400,45.47,1216206540,85.13,1216160400,45.48,1216120680,1216101600,,,261,25.44,1216163040,4.3,44.98722222,-114.9872222,-6,America/Boise
33212,33376,FS-1474093,79.67,1218495600,41.9,1218544020,79.67,1218495600,33.7,1218453540,30.45,0.41,,0.35,0,0,,0,,1218458340,1218509640,80.17,1218495600,41.41,1218544020,80.17,1218495600,34.08,1218455520,1218438000,0,1218438000,254,19.61,1218509880,3.69,45.05888889,-114.9858333,-7,America/Los_Angeles
33229,33393,FS-1474110,69.74,1208895060,32.92,1208948400,69.74,1208895060,34.82,1208851080,-1.72,0.11,,0.58,0,0,,0,,1208867940,1208915700,70.24,1208895060,36.93,1208948400,70.24,1208895060,35.13,1208861940,1208847600,0,1208847600,240,23.7,1208898360,4.99,33.5,-109.375,-7,America/Phoenix
