OBJECTID,FOD_ID,FPA_ID,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,dewpoint,humidity,icon,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,windBearing,windGust,windGustTime,windSpeed,latitude_print,longitude_print,offset_print,timezone_print
230157,234197,W-18590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4891,-117.0637,-7,America/Los_Angeles
230163,234203,W-18598,94.88,841100220,52.67,841153920,94.88,841100220,59.07,841066800,38.85,0.25,clear-day,0.44,0,0,,0,,841065300,841113300,95.38,841100220,52.18,841153920,95.38,841100220,58.58,841066800,841042800,9,841089600,232,,,8.52,41.0438,-117.9443,-7,America/Los_Angeles
230164,234204,W-18587,93.51,841100220,51.3,841153920,93.51,841100220,57.7,841066800,38.85,0.26,clear-day,0.44,0,0,,0,,841065240,841113300,94.01,841100220,50.81,841153920,94.01,841100220,57.21,841066800,841042800,9,841089600,232,,,8.52,41.1166,-117.7843,-7,America/Los_Angeles
230168,234208,W-18605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6055,-118.1852,-7,America/Los_Angeles
230181,234222,W-18628,83.99,844031040,36.62,844089660,83.99,844031040,29.14,843999960,28.58,0.36,clear-day,0.61,0,0,,0,,844004820,844047420,84.49,844031040,36.13,844089660,84.49,844031040,34.2,844000020,843980400,6,844026120,131,,,3.95,40.5896,-117.7093,-7,America/Los_Angeles
230222,234265,W-11917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7363,-117.8757,-7,America/Los_Angeles
230302,234348,W-7465,98.59,903127620,59.04,903187860,98.59,903127620,51.7,903098220,41.39,0.29,,0.76,0,0.0005,903137400,1,,903099780,903149640,99.09,903127620,58.55,903187860,99.09,903127620,51.21,903098220,903078000,9,903124800,259,,,6.11,40.8063,-118.0899,-7,America/Los_Angeles
230304,234350,W-7469,96.01,903127620,56.45,903187860,96.01,903127620,46.05,903097560,41.39,0.32,,0.76,0,0.0005,903137400,1,,903099720,903149520,96.51,903127620,55.96,903187860,96.51,903127620,48.62,903098220,903078000,9,903124800,259,,,6.11,40.5332,-117.801,-7,America/Los_Angeles
230366,234412,W-1705,96.61,931735800,61.45,931780920,96.61,931735800,50.56,931696260,43.3,0.33,clear-day,0.96,0,0,,0,,931696260,931749780,97.11,931735800,60.96,931780920,97.11,931735800,50.07,931696260,931676400,11,931722960,63,,,5.73,40.4846,-117.6385,-7,America/Los_Angeles
230381,234428,W-2291,90.18,933802920,52.48,933860100,90.18,933802920,64.73,933770040,47.31,0.39,rain,0.77,0.0015,0.0315,933811200,1,rain,933771120,933822360,90.68,933802920,51.99,933860100,90.68,933802920,64.24,933770040,933750000,9,933793080,52,,,13.73,40.908,-117.8124,-7,America/Los_Angeles
